INFO 2025-02-11 17:06:50,951 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-11 17:06:50,953 autoreload Waiting for apps ready_event.
DEBUG 2025-02-11 17:06:52,438 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-02-11 17:06:52,438 autoreload Watching dir E:\django\usssa\usssa\dashboard\templates with glob **/*.
DEBUG 2025-02-11 17:06:52,438 autoreload Watching dir E:\django\usssa\usssa\agm\templates with glob **/*.
DEBUG 2025-02-11 17:06:52,438 autoreload Watching dir E:\django\usssa\usssa\enrollment\templates with glob **/*.
DEBUG 2025-02-11 17:06:52,453 autoreload Watching dir E:\django\usssa\usssa\base\templates with glob **/*.
DEBUG 2025-02-11 17:06:52,453 autoreload Watching dir E:\django\usssa\usssa\transfers\templates with glob **/*.
DEBUG 2025-02-11 17:06:52,453 autoreload Watching dir E:\django\usssa\usssa\school\templates with glob **/*.
DEBUG 2025-02-11 17:06:52,453 autoreload Watching dir E:\django\usssa\usssa\training\templates with glob **/*.
DEBUG 2025-02-11 17:06:52,453 autoreload Watching dir E:\django\usssa\usssa\accounts\templates with glob **/*.
DEBUG 2025-02-11 17:06:52,453 autoreload Watching dir E:\django\usssa\venv\Lib\site-packages\django_filters\templates with glob **/*.
DEBUG 2025-02-11 17:06:52,453 autoreload Watching dir E:\django\usssa\usssa\locale with glob **/*.mo.
DEBUG 2025-02-11 17:06:52,454 autoreload Watching dir E:\django\usssa\venv\Lib\site-packages\django_filters\locale with glob **/*.mo.
DEBUG 2025-02-11 17:06:52,454 autoreload Watching dir E:\django\usssa\usssa\dashboard\locale with glob **/*.mo.
DEBUG 2025-02-11 17:06:52,454 autoreload Watching dir E:\django\usssa\usssa\accounts\locale with glob **/*.mo.
DEBUG 2025-02-11 17:06:52,454 autoreload Watching dir E:\django\usssa\usssa\base\locale with glob **/*.mo.
DEBUG 2025-02-11 17:06:52,456 autoreload Watching dir E:\django\usssa\usssa\agm\locale with glob **/*.mo.
DEBUG 2025-02-11 17:06:52,456 autoreload Watching dir E:\django\usssa\usssa\training\locale with glob **/*.mo.
DEBUG 2025-02-11 17:06:52,456 autoreload Watching dir E:\django\usssa\usssa\school\locale with glob **/*.mo.
DEBUG 2025-02-11 17:06:52,456 autoreload Watching dir E:\django\usssa\usssa\transfers\locale with glob **/*.mo.
DEBUG 2025-02-11 17:06:52,456 autoreload Watching dir E:\django\usssa\usssa\enrollment\locale with glob **/*.mo.
DEBUG 2025-02-11 17:06:52,456 autoreload Watching dir E:\django\usssa\venv\Lib\site-packages\reportlab\locale with glob **/*.mo.
DEBUG 2025-02-11 17:06:52,457 autoreload Watching dir E:\django\usssa\venv\Lib\site-packages\xhtml2pdf\locale with glob **/*.mo.
DEBUG 2025-02-11 17:06:52,457 autoreload Watching dir E:\django\usssa\venv\Lib\site-packages\easy_thumbnails\locale with glob **/*.mo.
DEBUG 2025-02-11 17:06:52,457 autoreload Watching dir E:\django\usssa\venv\Lib\site-packages\image_cropping\locale with glob **/*.mo.
DEBUG 2025-02-11 17:06:52,530 utils (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2025-02-11 17:06:52,530 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2025-02-11 17:06:52,551 utils (0.015) 
            SELECT
                table_name,
                table_type,
                table_comment
            FROM information_schema.tables
            WHERE table_schema = DATABASE()
            ; args=None; alias=default
DEBUG 2025-02-11 17:06:52,570 utils (0.016) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2025-02-11 17:06:52,645 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko\pdf_utils\metadata\model.py first seen with mtime 1726114151.9812565
DEBUG 2025-02-11 17:06:52,645 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\asyncio\timeouts.py first seen with mtime 1701976814.0
DEBUG 2025-02-11 17:06:52,646 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\lib\styles.py first seen with mtime 1726114127.4496763
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\cryptography\hazmat\primitives\asymmetric\padding.py first seen with mtime 1726114149.583198
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1726123819.0889885
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\cryptography\hazmat\primitives\_serialization.py first seen with mtime 1726114149.6174142
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\chardet\sbcharsetprober.py first seen with mtime 1726114125.623297
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\graphics\widgets\flags.py first seen with mtime 1726114127.4393897
DEBUG 2025-02-11 17:06:52,647 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\subprocess.py first seen with mtime 1722967352.0
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1726114117.0727546
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\pypdf\filters.py first seen with mtime 1726114118.948385
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\graphics\utils.py first seen with mtime 1726114127.4187744
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\django\core\mail\message.py first seen with mtime 1726123818.975192
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1726123818.9887567
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko\pdf_utils\extensions.py first seen with mtime 1726114151.9487104
DEBUG 2025-02-11 17:06:52,647 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\uuid.py first seen with mtime 1701976816.0
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\PIL\ImageFilter.py first seen with mtime 1726114120.6824882
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1726123818.9514668
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_enc_zapfdingbats.py first seen with mtime 1726114127.4547403
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\pypdf\pagerange.py first seen with mtime 1726114118.948385
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko\config\__init__.py first seen with mtime 1726114151.9244585
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\django\db\backends\mysql\base.py first seen with mtime 1726123818.9987543
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\PIL\ImageColor.py first seen with mtime 1726114120.6824882
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\graphics\charts\utils3d.py first seen with mtime 1726114127.4340708
DEBUG 2025-02-11 17:06:52,647 autoreload File E:\django\usssa\venv\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1726123818.958974
DEBUG 2025-02-11 17:06:52,652 autoreload File E:\django\usssa\venv\Lib\site-packages\cryptography\hazmat\primitives\asymmetric\x448.py first seen with mtime 1726114149.583198
DEBUG 2025-02-11 17:06:52,652 autoreload File E:\django\usssa\venv\Lib\site-packages\PIL\_imaging.cp312-win_amd64.pyd first seen with mtime 1726114120.722611
DEBUG 2025-02-11 17:06:52,652 autoreload File E:\django\usssa\venv\Lib\site-packages\pyhanko\pdf_utils\rw_common.py first seen with mtime 1726114151.9569237
DEBUG 2025-02-11 17:06:52,652 autoreload File E:\django\usssa\venv\Lib\site-packages\asgiref\local.py first seen with mtime 1726114126.7876384
DEBUG 2025-02-11 17:06:52,653 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\wsgiref\simple_server.py first seen with mtime 1701976816.0
DEBUG 2025-02-11 17:06:52,653 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\pickle.py first seen with mtime 1722967352.0
DEBUG 2025-02-11 17:06:52,653 autoreload File C:\Users\DELL\AppData\Local\Programs\Python\Python312\Lib\fractions.py first seen with mtime 1722967350.0
DEBUG 2025-02-11 17:06:52,653 autoreload File E:\django\usssa\venv\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1726123817.8998475
DEBUG 2025-02-11 17:06:52,653 autoreload File E:\django\usssa\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_widths_courierboldoblique.py first seen with mtime 1726114127.457798
DEBUG 2025-02-11 17:06:52,653 autoreload File E:\django\usssa\venv\Lib\site-packages\pypdf\_page_labels.py first seen with mtime 1726114118.9438293
